ID,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
449,0.406,-73.02277713452494,-45.23249711332338
450,0.8431,-73.01226343753142,-45.24004772148612
451,0.334,-73.01334588548923,-45.24156138789196
452,0.7987,-73.00987494251191,-45.2421359953654
453,0.4516,-73.00849040904023,-45.25197297206613
454,0.1296,-73.08989751957061,-45.319472776088155
455,0.1209,-73.08704621081833,-45.32174283457266
456,0.4345,-72.92804545062987,-45.35369258787387
457,1.3529,-72.93849725614172,-45.3504658667019
458,0.5077,-72.93999469106022,-45.328381988354145
459,0.2899,-72.99297140525364,-45.299643538625794
460,0.4755,-72.99117186874389,-45.30150628688519
461,0.2061,-73.01402117911786,-45.287130503638124
462,0.1771,-73.01125967945238,-45.28823637481841
463,0.3103,-73.00753687323859,-45.289576359868505
464,0.17,-73.00573170579226,-45.2909919405167
465,0.7494,-73.06234970207655,-45.23418800709287
466,0.1602,-73.0877996728184,-45.28346508829662
467,0.2446,-73.07321714052985,-45.28484284500783
468,1.1069,-73.05119504584147,-45.277461848681206
469,0.253,-73.08507245027661,-45.25882652325265
470,0.8508,-72.83411821383744,-45.37644587103711
471,0.1534,-72.84238599171735,-45.38483349629189
472,0.5265,-72.84642178019504,-45.33145923009218
473,0.2933,-72.84739929320932,-45.33245023397609
474,0.2132,-72.90520935749264,-45.2874645741842
475,0.2273,-72.90530508140638,-45.28792116648251
476,0.4048,-72.90888435014163,-45.284634063027454
477,0.2579,-72.91200553773821,-45.28354273424757
478,0.2124,-72.88493864779532,-45.38498470871008
479,0.779,-73.02552784465924,-45.32832568616001
480,0.3189,-72.57798116133192,-45.41812368850874
481,0.5668,-72.48800419689977,-45.41954946835466
482,2.9443,-72.73465844289309,-45.39740928466655
483,2.2552,-72.7576956592811,-45.394417037876025
484,0.9048,-72.72651130348585,-45.403273683460526
485,0.3311,-72.72876300240632,-45.405123093362654
486,1.1628,-72.74494601903646,-45.37115799953297
487,0.9923,-72.78101478634288,-45.287756773168006
488,1.1196,-72.99967121335001,-45.237965011409834
489,0.3677,-73.08421822588005,-45.306333619602476
490,1.1507,-73.0816071462827,-45.306390726310376
491,0.5581,-73.00210637383341,-45.2707942083755
492,0.6344,-73.00680955659189,-45.26998619490965
493,0.2285,-72.7119268960084,-45.32110194302343
494,0.9306,-72.74546751309359,-45.282628003481726
495,0.5789,-72.88452001186916,-45.305144543479784
496,0.2887,-72.97773891738386,-45.323477145214824
497,0.1905,-72.99903576702778,-45.328411772997086
498,0.5457,-73.0288353519072,-45.373123392024226
499,0.3009,-73.01745692813276,-45.38481347431803
500,0.383,-73.01676296934785,-45.37877359283768
501,0.6178,-73.01950114873915,-45.37906015770905
502,0.2249,-73.01751689034204,-45.38061570145924
503,0.1624,-73.00896454308688,-45.39030081728993
504,0.5336,-73.00906406604258,-45.39134544676457
505,1.0604,-72.9785700224321,-45.40348485167423
506,0.2826,-72.84141807202802,-45.33134743445168
507,0.1098,-72.84035246567042,-45.330580770259544
508,0.5854,-72.94986175311998,-45.4588742483186
509,1.3614,-73.03606208387689,-45.46682728168842
510,0.4714,-73.05422911501,-45.477790751172165
511,0.2099,-73.06044121512264,-45.46879313596464
512,0.6997,-73.01217688465445,-45.44436618850137
513,1.9186,-73.01122432515591,-45.44648857000269
514,0.4109,-72.95827656917241,-45.454049055909664
515,0.2854,-72.9211516829285,-45.483796801950085
516,0.1681,-72.9191816868274,-45.48297671418138
517,0.701,-72.92712259032974,-45.39426232753416
